H Df
0.206 1.07684
0.1854 0.99004
0.1648 0.87761
0.1442 0.81998
0.1236 0.72121
0.103 0.64648
0.0824 0.52707
0.0618 0.38332
0.0412 0.27694
0.0206 0.161
0 -0.00754
-0.0206 -0.1826
-0.0412 -0.34439
-0.0618 -0.53911
-0.0824 -0.67117
-0.0927 -0.37026
-0.103 0.03159
-0.1133 0.14399
-0.1236 0.55419
-0.1442 0.81829
-0.1648 0.90672
-0.1854 0.9721
-0.206 1.06931
-0.1854 0.98691
-0.1648 0.91657
-0.1442 0.81326
-0.1236 0.68662
-0.103 0.62303
-0.0824 0.50191
-0.0618 0.38653
-0.0412 0.27649
-0.0206 0.15949
0 0.00754
0.0206 -0.15576
0.0412 -0.35157
0.0618 -0.53251
0.0824 -0.67117
0.0927 -0.40742
0.103 0.07546
0.1133 0.14007
0.1236 0.61428
0.1442 0.81267
0.1648 0.92393
0.1854 0.98476
