H M
2.00826 0.99873
1.85758 0.99918
1.70683 0.99916
1.55615 0.99916
1.40547 0.99875
1.25465 0.99791
1.10426 0.99666
0.95373 0.99463
0.80342 0.99141
0.65259 0.98514
0.502 0.97313
0.4518 0.96791
0.40159 0.96105
0.3514 0.9533
0.30119 0.94273
0.25097 0.92723
0.2008 0.90259
0.15041 0.84844
0.13048 0.80442
0.11038 0.74934
0.09033 0.67469
0.07025 0.58611
0.05014 0.49401
0.03013 0.39441
0.01003 0.29065
-0.01006 0.18137
-0.03016 0.06595
-0.05024 -0.04955
-0.07033 -0.16313
-0.09037 -0.27588
-0.11041 -0.38637
-0.13053 -0.49186
-0.15058 -0.58844
-0.20084 -0.79806
-0.25102 -0.91533
-0.30121 -0.93984
-0.35144 -0.95091
-0.40175 -0.96053
-0.45183 -0.96673
-0.50202 -0.9717
-0.65296 -0.98441
-0.80357 -0.99
-0.95402 -0.99325
-1.1047 -0.99706
-1.25509 -0.99767
-1.40591 -0.99713
-1.55629 -0.99711
-1.70697 -0.99727
-1.86095 -0.99986
-2.0084 -0.99911
-2.00826 -0.99862
-1.85758 -0.99907
-1.70683 -0.99932
-1.55615 -0.99926
-1.40547 -0.99876
-1.25494 -0.99724
-1.10426 -0.99626
-0.95373 -0.99461
-0.80342 -0.99106
-0.65261 -0.98428
-0.50199 -0.97315
-0.45177 -0.96855
-0.40158 -0.96071
-0.35139 -0.95226
-0.30112 -0.94214
-0.25081 -0.92723
-0.20039 -0.90222
-0.15039 -0.85127
-0.1305 -0.80901
-0.1104 -0.74837
-0.09033 -0.67332
-0.07025 -0.5893
-0.05017 -0.49359
-0.0301 -0.39583
-0.01001 -0.29296
0.01006 -0.18246
0.03016 -0.06649
0.05024 0.05482
0.07031 0.17161
0.0904 0.28505
0.11041 0.39619
0.13054 0.50073
0.15061 0.5999
0.20083 0.813
0.25102 0.91866
0.30122 0.94088
0.35143 0.95284
0.40164 0.96104
0.4518 0.96707
0.50203 0.9715
0.65265 0.98482
0.80357 0.9912
0.95388 0.99445
1.10661 0.99782
1.25494 0.99771
1.40562 0.99844
1.55629 0.9977
1.70697 0.99879
1.85831 1.00023
2.00826 0.99919
