H M
0.1236 0.57596
0.103 0.57538
0.0824 0.56631
0.0618 0.5587
0.0412 0.55238
0.0206 0.53601
0 0.53894
-0.0206 0.54451
-0.0412 0.47851
-0.0618 0.43968
-0.1133 -0.02753
-0.1236 -0.41875
-0.1442 -0.56118
-0.1648 -0.5694
-0.1854 -0.5716
-0.206 -0.59263
-0.1854 -0.58754
-0.1648 -0.58211
-0.1442 -0.58026
-0.1236 -0.57424
-0.103 -0.56891
-0.0824 -0.56272
-0.0618 -0.56382
-0.0412 -0.56282
-0.0206 -0.53201
0 -0.52483
0.0206 -0.5203
0.0412 -0.47468
0.0618 -0.43706
0.1133 0.05529
0.1236 0.56153
0.1442 0.56878
0.1648 0.57269
0.1854 0.57634
0.206 0.59644
0.1854 0.59087
0.1648 0.5872
0.1442 0.58603
-- --
-- --
-- --
-- --
-- --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
